sim_id,language,domain,system,utterance_idx,finding_index,severity,time_range,clip_duration_seconds,span_start_seconds,span_end_seconds
27cee4d8-9c74-4bbc-addd-f6c5c27416f3,en,airline,Gemini high,765,1,1,0:05-0:06,6.8,5.0,6.0
27cee4d8-9c74-4bbc-addd-f6c5c27416f3,en,airline,Gemini high,1013,0,3,0:18-0:20,20.2,18.0,20.0
33ba523a-1e31-4b85-ae64-69c0e63a5d73,en,airline,Gemini high,209,0,1,0:07-0:08,8.0,7.0,8.0
35234849-4386-4a19-9d7d-bd907ba34e50,en,airline,Gemini high,245,0,1,0.00-0.02,0.6,0.0,0.02
42ca61c2-bc1b-4e85-bd94-478bf35c5fca,en,airline,Gemini high,161,0,1,0:01-0:02,1.0,1.0,2.0
49ae1761-6939-404b-8fe1-11355d1414c9,en,airline,Gemini high,379,0,2,0:18-0:20,20.8,18.0,20.0
49ae1761-6939-404b-8fe1-11355d1414c9,en,airline,Gemini high,591,0,2,0:04-0:05,5.4,4.0,5.0
49ae1761-6939-404b-8fe1-11355d1414c9,en,airline,Gemini high,986,0,3,00:03-00:04,4.2,3.0,4.0
4abb3ef1-3c57-4282-b130-d82e44756a9a,en,airline,Gemini high,161,0,1,0:02-0:03,3.6,2.0,3.0
4d5abca9-2b7e-49cc-aa67-fbc410fdb528,en,airline,Gemini high,553,0,1,0:23-0:24,25.0,23.0,24.0
4ffa5cbc-07bd-43d9-a446-896f249f660f,en,airline,Gemini high,288,0,1,0:06-0:08,8.4,6.0,8.0
76e00d8b-09ed-44f0-81e9-c2e40458e5db,en,airline,Gemini high,583,0,1,0:11-0:13,13.4,11.0,13.0
80c7571b-93a3-4348-a5da-d031ffa274b2,en,airline,Gemini high,420,0,2,00:01-00:02,2.2,1.0,2.0
89fbf237-1f27-4671-b573-3590b93cf7a9,en,airline,Gemini high,171,0,1,00:00-00:01,1.4,0.0,1.0
89fbf237-1f27-4671-b573-3590b93cf7a9,en,airline,Gemini high,180,0,1,0.00-0.60,0.4,0.0,0.6
96b05114-8d58-4b03-9063-74b38b707cba,en,airline,Gemini high,147,0,1,00:02-00:03,3.4,2.0,3.0
ae5b8362-5a8d-4eb5-bffd-82463d0665d1,en,airline,Gemini high,38,1,3,0:01-0:02,2.4,1.0,2.0
ae5b8362-5a8d-4eb5-bffd-82463d0665d1,en,airline,Gemini high,146,0,2,0:02-0:03,3.2,2.0,3.0
ae5b8362-5a8d-4eb5-bffd-82463d0665d1,en,airline,Gemini high,153,0,1,00:03-00:04,4.2,3.0,4.0
ae5b8362-5a8d-4eb5-bffd-82463d0665d1,en,airline,Gemini high,243,0,2,0:23-0:24,24.6,23.0,24.0
ae5b8362-5a8d-4eb5-bffd-82463d0665d1,en,airline,Gemini high,431,0,2,00:00 - 00:01,1.2,0.0,1.0
bff621ae-6ceb-42df-a74b-a5674bac0e4d,en,airline,Gemini high,136,0,2,00:02,3.0,2.0,2.0
d0ae2fab-0e60-4748-ab21-170baa12a33a,en,airline,Gemini high,598,0,2,00:01-00:01,1.8,1.0,1.0
d4a43c9f-2aa9-4df7-bb7e-f78830f2959d,en,airline,Gemini high,165,0,2,0:08-0:09,9.2,8.0,9.0
e559e5c7-ba0f-4119-a28e-a923ff2860a2,en,airline,Gemini high,473,0,1,0.00-0.80,0.6,0.0,0.8
f990a7c7-cd3d-430d-910a-1c0d8c93b95f,en,airline,Gemini high,407,0,2,0:10-0:11,11.0,10.0,11.0
fdfc32a5-89d5-4ae0-a117-9146cdcfb8cd,en,airline,Gemini high,383,0,1,00:03-00:04,4.4,3.0,4.0
fdfc32a5-89d5-4ae0-a117-9146cdcfb8cd,en,airline,Gemini high,418,0,2,0.00-0.80,0.8,0.0,0.8
0d5058ca-a72b-46a8-8558-794027a04457,en,airline,Gemini minimal,345,0,1,00:00-00:01,1.4,0.0,1.0
