dataset,subset,view,split_policy,model,label_permuted,permutation_trial,seed,train_size,validation_size,train_class_counts,validation_class_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,predicted_class_counts,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,roc_auc,pr_auc_y1,pr_auc_y0
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5443548387096774,0.5405844155844155,0.44483844767130887,"[[15, 13], [100, 120]]","{""0"": 115, ""1"": 133}",0.13043478260869565,0.5357142857142857,0.2097902097902098,28,0.9022556390977443,0.5454545454545454,0.6798866855524079,220,0.6022727272727272,0.9228320279709861,0.17141351026102886
bfcl,all_categories,S-only,minxing_row_random,class_weighted_logistic_regression_standardized,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5887096774193549,0.5811688311688312,0.4785190071740744,"[[16, 12], [90, 130]]","{""0"": 106, ""1"": 142}",0.1509433962264151,0.5714285714285714,0.23880597014925373,28,0.9154929577464789,0.5909090909090909,0.7182320441988951,220,0.5934253246753247,0.9155330227144293,0.18459992733628655
bfcl,all_categories,X+S,minxing_row_random,small_mlp_standardized,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.9032258064516129,0.6337662337662338,0.6736842105263158,"[[8, 20], [4, 216]]","{""0"": 12, ""1"": 236}",0.6666666666666666,0.2857142857142857,0.4,28,0.9152542372881356,0.9818181818181818,0.9473684210526315,220,0.7495129870129871,0.9571063866884957,0.4627450910400936
bfcl,non_irrelevance,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,False,,1,800,200,"{""0"": 118, ""1"": 682}","{""0"": 22, ""1"": 178}",0.65,0.5643513789581205,0.4982078853046595,"[[10, 12], [58, 120]]","{""0"": 68, ""1"": 132}",0.14705882352941177,0.45454545454545453,0.2222222222222222,22,0.9090909090909091,0.6741573033707865,0.7741935483870968,178,0.6144024514811032,0.9166042385189181,0.21451110954764796
bfcl,non_irrelevance,S-only,minxing_row_random,class_weighted_logistic_regression_standardized,False,,1,800,200,"{""0"": 118, ""1"": 682}","{""0"": 22, ""1"": 178}",0.66,0.6894790602655771,0.5466666666666666,"[[16, 6], [62, 116]]","{""0"": 78, ""1"": 122}",0.20512820512820512,0.7272727272727273,0.32,22,0.9508196721311475,0.651685393258427,0.7733333333333333,178,0.7392747701736466,0.9528820883343567,0.2955587436847245
bfcl,non_irrelevance,X+S,minxing_row_random,class_weighted_logistic_regression_standardized,False,,1,800,200,"{""0"": 118, ""1"": 682}","{""0"": 22, ""1"": 178}",0.715,0.6606230847803882,0.5667211432480712,"[[13, 9], [48, 130]]","{""0"": 61, ""1"": 139}",0.21311475409836064,0.5909090909090909,0.3132530120481928,22,0.935251798561151,0.7303370786516854,0.8201892744479495,178,0.7520429009193054,0.9562326978212479,0.38466819962294524
bfcl,irrelevance_only,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,False,,1,192,48,"{""0"": 33, ""1"": 159}","{""0"": 8, ""1"": 40}",0.5833333333333334,0.6,0.5151515151515151,"[[5, 3], [17, 23]]","{""0"": 22, ""1"": 26}",0.22727272727272727,0.625,0.3333333333333333,8,0.8846153846153846,0.575,0.696969696969697,40,0.5875,0.8950560916533887,0.30767401458190935
bfcl,irrelevance_only,S-only,minxing_row_random,logistic_regression_standardized,False,,1,192,48,"{""0"": 33, ""1"": 159}","{""0"": 8, ""1"": 40}",1.0,1.0,1.0,"[[8, 0], [0, 40]]","{""0"": 8, ""1"": 40}",1.0,1.0,1.0,8,1.0,1.0,1.0,40,1.0,1.0,1.0
bfcl,irrelevance_only,X+S,minxing_row_random,logistic_regression_standardized,False,,1,192,48,"{""0"": 33, ""1"": 159}","{""0"": 8, ""1"": 40}",1.0,1.0,1.0,"[[8, 0], [0, 40]]","{""0"": 8, ""1"": 40}",1.0,1.0,1.0,8,1.0,1.0,1.0,40,1.0,1.0,1.0
apibank,all_pairs,X-only,pair_grouped,small_mlp_standardized,False,,1,812,204,"{""0"": 406, ""1"": 406}","{""0"": 102, ""1"": 102}",0.5,0.5,0.49879564505250984,"[[46, 56], [46, 56]]","{""0"": 92, ""1"": 112}",0.5,0.45098039215686275,0.4742268041237113,102,0.5,0.5490196078431373,0.5233644859813084,102,0.5,0.4999999999999999,0.4999999999999999
apibank,all_pairs,S-only,pair_grouped,random_forest,False,,1,812,204,"{""0"": 406, ""1"": 406}","{""0"": 102, ""1"": 102}",0.946078431372549,0.946078431372549,0.9460148675632112,"[[93, 9], [2, 100]]","{""0"": 95, ""1"": 109}",0.9789473684210527,0.9117647058823529,0.9441624365482234,102,0.9174311926605505,0.9803921568627451,0.9478672985781991,102,0.988081507112649,0.9878833142225739,0.989337376581111
apibank,all_pairs,X+S,pair_grouped,small_mlp_standardized,False,,1,812,204,"{""0"": 406, ""1"": 406}","{""0"": 102, ""1"": 102}",0.9509803921568627,0.9509803921568627,0.95090489025799,"[[93, 9], [1, 101]]","{""0"": 94, ""1"": 110}",0.9893617021276596,0.9117647058823529,0.9489795918367347,102,0.9181818181818182,0.9901960784313726,0.9528301886792453,102,0.9921184159938485,0.9910543435953203,0.9935222095066918
