dataset,subset,view,split_policy,model,label_permuted,permutation_trial,seed,train_size,validation_size,train_class_counts,validation_class_counts,accuracy,balanced_accuracy,macro_f1,confusion_matrix,predicted_class_counts,class_0_precision,class_0_recall,class_0_f1,class_0_support,class_1_precision,class_1_recall,class_1_f1,class_1_support,roc_auc,pr_auc_y1,pr_auc_y0
bfcl,all_categories,X-only,minxing_row_random,majority_class,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.6097402597402597,0.9224352386945245,0.17815523002061223
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5443548387096774,0.5405844155844155,0.44483844767130887,"[[15, 13], [100, 120]]","{""0"": 115, ""1"": 133}",0.13043478260869565,0.5357142857142857,0.2097902097902098,28,0.9022556390977443,0.5454545454545454,0.6798866855524079,220,0.6022727272727272,0.9228320279709861,0.17141351026102886
bfcl,all_categories,X-only,minxing_row_random,random_forest,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.875,0.49318181818181817,0.4666666666666667,"[[0, 28], [3, 217]]","{""0"": 3, ""1"": 245}",0.0,0.0,0.0,28,0.8857142857142857,0.9863636363636363,0.9333333333333333,220,0.6680194805194807,0.9477807106523701,0.16020890355899692
bfcl,all_categories,X-only,minxing_row_random,hist_gradient_boosting,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8548387096774194,0.4974025974025974,0.4870144794300161,"[[1, 27], [9, 211]]","{""0"": 10, ""1"": 238}",0.1,0.03571428571428571,0.05263157894736842,28,0.8865546218487395,0.9590909090909091,0.9213973799126638,220,0.6467532467532466,0.9307341794859253,0.17946920418939621
bfcl,all_categories,X-only,minxing_row_random,small_mlp_standardized,False,,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5980519480519482,0.9261561343241227,0.16362296898042292
bfcl,all_categories,X-only,minxing_row_random,majority_class,True,0,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.5,0.8870967741935484,0.11290322580645161
bfcl,all_categories,X-only,minxing_row_random,stratified_random,True,0,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.7620967741935484,0.523051948051948,0.5150952775476387,"[[6, 22], [37, 183]]","{""0"": 43, ""1"": 205}",0.13953488372093023,0.21428571428571427,0.16901408450704225,28,0.8926829268292683,0.8318181818181818,0.8611764705882353,220,0.5230519480519481,0.8917434375223519,0.11861000964526845
bfcl,all_categories,X-only,minxing_row_random,logistic_regression_standardized,True,0,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.8870967741935484,0.5,0.4700854700854701,"[[0, 28], [0, 220]]","{""1"": 248}",0.0,0.0,0.0,28,0.8870967741935484,1.0,0.9401709401709402,220,0.4465909090909091,0.8646417198753478,0.1420908940459933
bfcl,all_categories,X-only,minxing_row_random,class_weighted_logistic_regression_standardized,True,0,1,992,248,"{""0"": 153, ""1"": 839}","{""0"": 28, ""1"": 220}",0.5403225806451613,0.46038961038961035,0.4171683021357302,"[[10, 18], [96, 124]]","{""0"": 106, ""1"": 142}",0.09433962264150944,0.35714285714285715,0.14925373134328357,28,0.8732394366197183,0.5636363636363636,0.6850828729281768,220,0.4472402597402597,0.8628242232241448,0.13562326584798878
