name,rank,count
SMITH,1,2442977
JOHNSON,2,1932812
WILLIAMS,3,1625252
BROWN,4,1437026
JONES,5,1425470
GARCIA,6,1166120
MILLER,7,1161437
DAVIS,8,1116357
RODRIGUEZ,9,1094924
MARTINEZ,10,1060159
HERNANDEZ,11,1043281
LOPEZ,12,874523
GONZALEZ,13,841025
WILSON,14,801882
ANDERSON,15,784404
THOMAS,16,756142
TAYLOR,17,751209
MOORE,18,724374
JACKSON,19,708099
MARTIN,20,702625
LEE,21,693023
PEREZ,22,681645
THOMPSON,23,664644
WHITE,24,660491
HARRIS,25,624252
SANCHEZ,26,612752
CLARK,27,562679
RAMIREZ,28,557423
LEWIS,29,531781
ROBINSON,30,529821
WALKER,31,523129
YOUNG,32,484447
ALLEN,33,482607
KING,34,465422
WRIGHT,35,458980
SCOTT,36,439530
TORRES,37,437813
NGUYEN,38,437645
HILL,39,434827
FLORES,40,433969
GREEN,41,430182
ADAMS,42,427865
NELSON,43,424958
BAKER,44,419586
HALL,45,407076
RIVERA,46,391114
CAMPBELL,47,386157
MITCHELL,48,384486
CARTER,49,376966
ROBERTS,50,376774
GOMEZ,51,365655
PHILLIPS,52,360802
EVANS,53,355593
TURNER,54,348627
DIAZ,55,347636
PARKER,56,336221
CRUZ,57,334201
EDWARDS,58,332423
COLLINS,59,329770
REYES,60,327904
STEWART,61,324957
MORRIS,62,318884
MORALES,63,311777
MURPHY,64,308417
COOK,65,302589
ROGERS,66,302261
GUTIERREZ,67,293218
ORTIZ,68,286899
MORGAN,69,286280
COOPER,70,280791
PETERSON,71,278297
BAILEY,72,277845
REED,73,277030
KELLY,74,267394
HOWARD,75,264826
RAMOS,76,263464
KIM,77,262352
COX,78,261231
WARD,79,260464
RICHARDSON,80,259798
WATSON,81,252579
BROOKS,82,251663
CHAVEZ,83,250898
WOOD,84,250715
JAMES,85,249379
BENNETT,86,247599
GRAY,87,246116
MENDOZA,88,242771
RUIZ,89,238234
HUGHES,90,236271
PRICE,91,235251
ALVAREZ,92,233983
CASTILLO,93,230420
SANDERS,94,230374
PATEL,95,229973
MYERS,96,229895
LONG,97,229374
ROSS,98,229368
FOSTER,99,227764
JIMENEZ,100,227118
POWELL,101,224874
JENKINS,102,222653
PERRY,103,221741
RUSSELL,104,221558
SULLIVAN,105,220990
BELL,106,220599
COLEMAN,107,219070
BUTLER,108,218847
HENDERSON,109,218393
BARNES,110,218241
GONZALES,111,214758
FISHER,112,214703
VASQUEZ,113,212781
SIMMONS,114,210182
ROMERO,115,208614
JORDAN,116,208403
PATTERSON,117,205423
ALEXANDER,118,204621
HAMILTON,119,201746
GRAHAM,120,201159
REYNOLDS,121,200247
GRIFFIN,122,198406
WALLACE,123,197276
MORENO,124,196925
WEST,125,195818
COLE,126,195289
HAYES,127,194246
BRYANT,128,192773
HERRERA,129,192711
GIBSON,130,190667
ELLIS,131,188968
TRAN,132,188498
MEDINA,133,188497
AGUILAR,134,186512
STEVENS,135,185674
MURRAY,136,184910
FORD,137,184832
CASTRO,138,184134
MARSHALL,139,183922
OWENS,140,182719
HARRISON,141,181091
FERNANDEZ,142,180842
MCDONALD,143,180497
WOODS,144,177425
WASHINGTON,145,177386
KENNEDY,146,176865
WELLS,147,176230
VARGAS,148,173835
HENRY,149,170964
CHEN,150,169580
FREEMAN,151,169149
WEBB,152,168878
TUCKER,153,167446
GUZMAN,154,167044
BURNS,155,165925
CRAWFORD,156,164457
OLSON,157,164035
