token,language,word,phonemes
Alte,deu,Alte,a l t ə
Alte,ita,alte,a l t e
Alte,ron,alte,a l t e
Alte,spa,alte,a l t e
Animas,spa,animas,a n i m a s
Arriero,spa,arriero,a r j e ɾ o
Auberge,fra,auberge,o b ɛ ʁ ʒ
Azul,por,azul,ɐ z u l
Azul,spa,Azul,a θ u l
Bavard,fra,bavard,b a v a ʁ
Bialym,pol,białym,b j a w ɘ m
Cansado,por,cansado,k ɐ̃ s a d u
Cansado,spa,cansado,k a n s a d o
Casona,por,casona,k ɐ z o n ɐ
Casona,spa,casona,k a s o n a
Chnoc,cym,chnoc,χ n ɔ k
Chnoc,gla,chnoc,x ɾ ɔ̃ x k
Chnoc,gle,chnoc,x n ɔ k
Degirmen,tur,değirmen,d e i ɾ m e n
Descalzo,spa,descalzo,d e s k a l θ o
Fala,gle,fala,fˠ a lˠ ə
Fala,hun,fala,f ɒ l ɒ
Fala,pol,fala,f a l a
Fala,por,fala,f a l ɐ
Fala,ron,fală,f a l ə
Fogado,hun,fogadó,f o ɡ ɒ d oː
Gasthaus,deu,Gasthaus,ɡ a s t h a ʊ̯ s
Gasthaus,fra,Gasthaus,ɡ a s t o
Gasthof,deu,Gasthof,ɡ a s t h oː f
Giulia,ita,Giulia,d͡ʒ u l j a
Gufo,ita,gufo,ɡ u f o
Harom,hun,három,h aː r o m
Herberge,deu,Herberge,h ɛ ʁ b ɛ ʁ ɡ ə
Hostal,spa,hostal,o s t a l
Impreza,pol,impreza,i m p r e z a
Kirik,tur,kırık,k ɯ ɾ ɯ k
Krummen,deu,krümmen,k ʁ ʏ m ə n
Kuria,pol,kuria,k u r j a
Landhaus,deu,Landhaus,l a n t h a ʊ̯ s
Machair,gla,machair,m a x ɪ ɾʲ
Manoir,fra,manoir,m a n w a ʁ
Megane,fra,Mégane,m e ɡ a n
Moinho,por,moinho,m w i ɲ u
Mynydd,cym,mynydd,m ə n i
Negen,nld,negen,n eː ɣ ə
Nitti,ita,Nitti,n i t t i
Nove,ces,nové,n o v ɛː
Nove,hun,nőve,n øː v ɛ
Nove,ita,Nove,n o v e
Nove,por,nove,n ɔ b ɨ
Ostan,gle,óstán,oː sˠ t̪ˠ ɑː nˠ
Ostan,pol,ostań,ɔ s t a ɲ
Parva,por,parva,p a ɾ b ɐ
Parva,spa,parva,p a ɾ b a
Pedra,por,pedra,p ɛ d ɾ ɐ
Pensionat,deu,Pensionat,p ɛ n z i̯ o n aː t
Pensjonat,pol,pensjonat,p ɛ n s j ɔ n a t
Penzion,ces,penzion,p ɛ n z ɪ j o n
Peregrino,ita,peregrino,p e r e ɡ r i n o
Peregrino,por,peregrino,p ɨ ɾ ɨ ɡ ɾ i n u
Peregrino,spa,peregrino,p e ɾ e ɡ ɾ i n o
Podkowa,pol,Podkowa,p ɔ t k ɔ v a
Pousada,por,pousada,p o w z a d ɐ
Rei,ita,rei,r ɛ i
Rei,nld,rei,r ɛ i̯
Rei,pol,rei,r ɛ i
Rei,por,rei,ʁ e
Rei,spa,reí,r e i
Rumach,pol,rumach,r u m a x
Ruzi,ces,růži,r uː ʒ ɪ
Schmiede,deu,Schmiede,ʃ m iː d ə
Sete,ces,sete,s ɛ t ɛ
Sete,fra,Sète,s ɛ t
Sete,ita,sete,s e t e
Sete,pol,setę,s ɛ t ɛ
Sete,por,sete,s ɛ t ɨ
Sete,ron,sete,s e t e
Sete,spa,sete,s e t e
Singuratic,ron,singuratic,s i ŋ ɡ u r a t i k
Torto,ita,torto,t ɔ r t o
Torto,por,torto,t o ɾ t u
Velho,por,velho,b ɛ ʎ u
Veloce,fra,véloce,v e l ɔ s
Veloce,ita,veloce,v e l o t͡ʃ e
Vieux,fra,vieux,v j ø
Weisses,deu,Weißes,v a ɪ̯ s ə s
Zaguan,spa,zaguán,θ a ɡ w a n
Zajazd,pol,zajazd,z a j a s t
Zum,deu,zum,t s uː m
Zum,por,zum,z ũ
d'El,spa,d'el,d e l
