name,sex,total,d1950,d1960,d1970,d1980
Aaliyah,F,351,0,0,142,209
Aarika,F,312,0,0,41,271
Aaron,F,2816,88,215,1082,1431
Aaron,M,277055,11141,26070,101487,138357
Aarron,M,532,0,43,184,305
Aaryn,F,217,0,0,66,151
Aaryn,M,60,0,0,11,49
Abagail,F,340,15,19,69,237
Abbe,F,1093,417,292,185,199
Abbey,F,4894,158,188,860,3688
Abbey,M,7,7,0,0,0
Abbi,F,547,11,16,110,410
Abbie,F,5090,894,769,976,2451
Abbie,M,46,46,0,0,0
Abbigail,F,520,5,23,107,385
Abby,F,18256,1162,2068,3138,11888
Abby,M,83,10,6,10,57
Abdul,M,2078,46,163,1052,817
Abdullah,M,859,0,52,289,518
Abe,M,1610,561,423,352,274
Abel,F,54,0,0,11,43
Abel,M,13011,2088,2665,3528,4730
Abelardo,M,1801,368,414,510,509
Abelino,M,288,75,61,67,85
Abigail,F,31444,1671,2411,6704,20658
Abigail,M,123,0,0,6,117
Abigale,F,330,10,10,72,238
Abigayle,F,227,0,6,34,187
Able,M,259,49,42,73,95
Abner,M,1301,266,305,276,454
Abra,F,642,22,75,177,368
Abraham,F,96,0,0,34,62
Abraham,M,19458,2918,2711,5138,8691
Abram,M,3090,379,333,929,1449
Abran,M,639,87,104,186,262
Abril,F,256,0,7,72,177
Acacia,F,673,0,0,160,513
Ace,M,887,180,153,218,336
Acie,M,544,198,153,106,87
Acquanetta,F,203,117,47,34,5
Ada,F,10710,4306,2874,1924,1606
Ada,M,16,0,0,5,11
Adair,F,454,134,130,40,150
Adair,M,122,17,7,47,51
Adalberto,M,1984,256,391,589,748
Adaline,F,251,83,86,24,58
Adam,F,1571,6,73,476,1016
Adam,M,313482,3732,22925,91739,195086
Adams,M,554,18,46,161,329
Adan,F,17,0,0,5,12
Adan,M,5416,569,800,1470,2577
Addam,M,372,0,6,138,228
Addie,F,4407,1908,795,787,917
Addie,M,46,46,0,0,0
Addison,F,218,0,0,0,218
Addison,M,2162,335,253,282,1292
Adel,F,335,110,72,76,77
Adel,M,216,0,24,43,149
Adela,F,3579,1180,903,792,704
Adelaida,F,1130,219,310,343,258
Adelaide,F,1195,498,243,168,286
Adelbert,M,399,140,97,112,50
Adele,F,7607,3863,1892,1006,846
Adelia,F,807,263,204,164,176
Adelina,F,1964,520,449,479,516
Adeline,F,2278,905,532,348,493
Adelita,F,1048,270,302,292,184
Adell,F,866,491,171,112,92
Adell,M,285,138,77,40,30
Adella,F,860,350,235,162,113
Adelle,F,829,229,150,187,263
Aden,F,6,0,0,0,6
Aden,M,538,83,99,172,184
Adena,F,919,107,182,322,308
Adia,F,453,0,0,177,276
Adilene,F,363,0,0,0,363
Adina,F,2815,180,504,1076,1055
Adnan,M,359,0,0,99,260
Adolf,M,224,82,87,43,12
Adolfo,F,10,0,0,0,10
Adolfo,M,5069,908,1176,1332,1653
Adolph,M,3046,1368,826,518,334
Adolphus,M,1205,503,325,202,175
Adonica,F,302,49,81,106,66
Adonis,F,18,0,7,5,6
Adonis,M,1154,106,119,403,526
Adonna,F,409,103,156,92,58
Adora,F,464,90,83,91,200
Adrain,F,517,62,134,178,143
Adrain,M,2444,243,418,887,896
Adraine,F,218,22,87,67,42
Adraine,M,5,0,0,0,5
Adrea,F,471,5,69,171,226
Adrean,F,291,15,38,99,139
Adrean,M,142,0,5,41,96
Adrena,F,345,29,87,120,109
Adria,F,3324,340,437,1295,1252
